#node	date	numeric date
MA_MGH_00056|MT520410.1|2020-03-25	2020-03-25	2020.230874
NODE_0000189	2020-03-23	2020.226379
MA_MGH_00497|MT520475.1|2020-03-27	2020-03-27	2020.236339
MA_MGH_00208|MT520183.1|2020-03-27	2020-03-27	2020.236339
NODE_0000191	2020-03-26	2020.233609
MA_MGH_00926|MT873375.1|2020-05-02	2020-05-02	2020.334699
MA_DPH_00237|MT873135.1|2020-04-16	2020-04-16	2020.290984
MA_DPH_00217|MT873053.1|2020-04-13	2020-04-13	2020.282787
MA_DPH_00187|MT873421.1|2020-04-06	2020-04-06	2020.263661
MA_DPH_00095|MT873454.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00083|MT873444.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00089|MT873439.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00137|MT873086.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00142|MT873110.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00148|MT873498.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00169|MT873326.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00091|MT873287.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00035|MT873460.1|2020-04-02	2020-04-02	2020.252732
MA_DPH_00043|MT873055.1|2020-04-02	2020-04-02	2020.252732
MA_DPH_00025|MT873254.1|2020-04-02	2020-04-02	2020.252732
MA_DPH_00017|MT873104.1|2020-04-01	2020-04-01	2020.250000
NODE_0000152	2020-04-03	2020.255081
MA_DPH_00219|MT873327.1|2020-04-13	2020-04-13	2020.282787
MA_DPH_00240|MT873128.1|2020-04-16	2020-04-16	2020.290984
NODE_0000153	2020-04-01	2020.249923
MA_DPH_00054|MT873240.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00127|MT873491.1|2020-04-03	2020-04-03	2020.255464
NODE_0000271	2020-04-01	2020.249923
MA_DPH_00109|MT873343.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00165|MT873217.1|2020-04-03	2020-04-03	2020.255464
NODE_0000156	2020-04-03	2020.254817
MA_DPH_00140|MT873158.1|2020-04-03	2020-04-03	2020.255464
NODE_0000157	2020-04-03	2020.255005
MA_DPH_00230|MT873302.1|2020-04-15	2020-04-15	2020.288251
MA_MGH_01049|MT873504.1|2020-05-01	2020-05-01	2020.331967
NODE_0000192	2020-03-31	2020.248492
MA_DPH_00204|MT873299.1|2020-04-09	2020-04-09	2020.271858
MA_DPH_00086|MT873427.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00157|MT873330.1|2020-04-03	2020-04-03	2020.255464
NODE_0000278	2020-04-01	2020.249078
MA_DPH_00051|MT873431.1|2020-04-02	2020-04-02	2020.252732
NODE_0000154	2020-04-01	2020.249788
MA_DPH_00164|MT873309.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00081|MT873124.1|2020-04-03	2020-04-03	2020.255464
NODE_0000159	2020-04-01	2020.249923
MA_DPH_00075|MT873130.1|2020-04-03	2020-04-03	2020.255464
NODE_0000160	2020-04-01	2020.249923
MA_DPH_00189|MT873262.1|2020-04-06	2020-04-06	2020.263661
MA_DPH_00050|MT873320.1|2020-04-02	2020-04-02	2020.252732
NODE_0000283	2020-04-01	2020.249923
MA_DPH_00065|MT873228.1|2020-04-03	2020-04-03	2020.255464
NODE_0000155	2020-04-01	2020.250278
MA_DPH_00084|MT873231.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00080|MT873382.1|2020-04-03	2020-04-03	2020.255464
NODE_0000285	2020-03-30	2020.245530
MA_DPH_00060|MT873070.1|2020-04-03	2020-04-03	2020.255464
NODE_0000161	2020-03-31	2020.247669
MA_DPH_00074|MT873168.1|2020-04-03	2020-04-03	2020.255464
NODE_0000162	2020-04-01	2020.249741
MA_DPH_00138|MT873405.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00019|MT873218.1|2020-04-01	2020-04-01	2020.250000
NODE_0000289	2020-03-30	2020.245510
MA_DPH_00094|MT873507.1|2020-04-03	2020-04-03	2020.255464
NODE_0000163	2020-03-31	2020.247648
MA_DPH_00145|MT873084.1|2020-04-03	2020-04-03	2020.255464
NODE_0000164	2020-04-01	2020.250037
MA_DPH_00147|MT873466.1|2020-04-03	2020-04-03	2020.255464
NODE_0000165	2020-04-01	2020.250335
MA_DPH_00042|MT873438.1|2020-04-02	2020-04-02	2020.252732
MA_DPH_00110|MT873172.1|2020-04-03	2020-04-03	2020.255464
NODE_0000166	2020-03-30	2020.245510
NODE_0000167	2020-04-01	2020.250339
MA_DPH_00023|MT873308.1|2020-04-02	2020-04-02	2020.252732
MA_DPH_00105|MT873477.1|2020-04-03	2020-04-03	2020.255464
NODE_0000168	2020-03-31	2020.247648
MA_DPH_00106|MT873266.1|2020-04-03	2020-04-03	2020.255464
NODE_0000169	2020-04-01	2020.250037
MA_DPH_00115|MT873141.1|2020-04-03	2020-04-03	2020.255464
NODE_0000170	2020-04-01	2020.250335
MA_DPH_00149|MT873464.1|2020-04-03	2020-04-03	2020.255464
MA_DPH_00039|MT873489.1|2020-04-02	2020-04-02	2020.252732
NODE_0000303	2020-02-29	2020.162367
NODE_0000304	2020-02-29	2020.162809
NODE_0000308	2020-02-29	2020.162809
MA_MGH_00416|MT520428.1|2020-03-07	2020-03-07	2020.181694
